"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",1,197931847,197931847,94.49075218285898
"hipMemcpyHtoD",10,10102853,1010285,4.823004451440568
"hipMemcpyDtoH",7,911921,130274,0.4353422783012021
"hipMalloc",21,454099,21623,0.21678247702848993
"hipHostMalloc",1,38485,38485,0.018372367321754585
"hipGetDevice",43,13266,308,0.0063330602803792725
"hipEventCreate",34,11542,339,0.005510039330328476
"hipDeviceGet",2,2454,1227,0.0011715158998982914
"hipDeviceGetAttribute",1,2244,2244,0.0010712639280243547
"hipStreamSynchronize",1,1874,1874,0.0008946295013893228
"hipDeviceGetName",1,752,752,0.00035899753737714555
"hipGetDeviceProperties",1,441,441,0.00021052914093526754
"hipDeviceComputeCapability",1,411,411,0.00019620743066756227
